Date,Open,High,Low,Close,Volume
2023-05-05,30.59,31.25,30.36,31.13,1904679.0
2023-05-04,31.78,32.02,30.32,30.37,4125370.0
2023-05-02,32.1,32.62,31.62,31.62,2362885.0
2023-04-28,32.55,32.64,31.92,32.07,2882031.0
2023-04-27,31.79,32.7,31.79,32.54,2517377.0
2023-04-26,32.0,32.17,31.0,31.79,2952175.0
2023-04-25,32.64,32.65,31.91,32.11,1731389.0
2023-04-24,32.58,32.93,32.24,32.73,1272226.0
2023-04-21,32.54,32.68,32.09,32.58,1481183.0
2023-04-20,32.49,33.0,32.33,32.63,2540283.0
2023-04-19,32.12,32.78,31.2,32.47,3076276.0
2023-04-18,31.4,32.74,31.2,32.35,2574482.0
2023-04-17,31.5,31.79,31.24,31.4,1802433.0
2023-04-14,31.06,31.58,30.72,31.29,2623137.0
2023-04-13,30.0,31.04,29.8,30.83,3950019.0
2023-04-12,29.23,30.13,28.95,30.0,4589572.0
2023-04-11,29.0,29.34,28.65,29.25,3423787.0
2023-04-06,28.64,28.86,28.31,28.67,924027.0
2023-04-05,28.9,28.95,28.47,28.64,1733283.0
2023-04-04,29.44,29.54,28.82,28.89,1244435.0
2023-04-03,28.72,29.73,28.6,29.05,2279900.0
2023-03-31,28.85,28.93,28.37,28.52,2740049.0
2023-03-30,28.21,28.85,28.16,28.81,1883527.0
2023-03-29,27.4,28.16,27.14,28.05,2571898.0
2023-03-28,27.2,27.69,27.02,27.2,1807206.0
2023-03-27,27.06,27.25,26.64,27.07,2003466.0
2023-03-24,27.1,27.25,26.2,26.72,2970485.0
2023-03-23,27.48,27.6,26.84,27.4,1760311.0
2023-03-22,28.1,28.42,27.48,27.56,3638720.0
2023-03-21,27.2,28.08,26.88,27.98,4979626.0
2023-03-20,26.14,26.94,24.83,26.76,6687615.0
2023-03-17,27.4,27.9,26.07,26.46,7553224.0
2023-03-16,28.2,28.41,26.6,27.2,6504885.0
2023-03-15,29.0,29.19,27.5,27.97,3716618.0
2023-03-14,28.74,29.16,28.38,28.83,3710846.0
2023-03-13,30.03,30.09,28.61,28.91,4779884.0
2023-03-10,30.03,30.24,29.62,29.78,3209044.0
2023-03-09,31.13,31.13,30.5,30.5,1132275.0
2023-03-08,30.98,31.18,30.72,31.1,1436535.0
2023-03-07,31.5,31.88,30.92,30.99,2011068.0
2023-03-06,31.1,31.65,31.03,31.6,1866027.0
2023-03-03,30.5,31.1,30.5,30.97,1682985.0
2023-03-02,31.08,31.2,30.4,30.53,1932705.0
2023-03-01,31.36,31.57,31.06,31.35,1240424.0
2023-02-28,30.57,31.35,30.38,31.08,3401497.0
2023-02-27,30.8,30.8,30.26,30.56,1475570.0
2023-02-24,30.73,31.07,30.45,30.6,1734632.0
2023-02-23,30.02,30.72,29.99,30.56,2893901.0
2023-02-22,30.7,30.7,29.86,30.04,3417577.0
2023-02-21,31.2,31.35,30.34,30.73,3470664.0
2023-02-20,31.9,32.0,31.08,31.35,2681664.0
2023-02-17,32.02,32.34,31.8,31.92,4132126.0
2023-02-16,33.11,33.69,30.66,32.36,7536227.0
2023-02-15,32.6,33.37,32.49,33.04,4025475.0
2023-02-14,32.49,33.1,32.24,32.74,2652265.0
2023-02-13,32.36,32.44,31.94,32.3,2229733.0
2023-02-10,32.6,32.73,32.1,32.13,3044669.0
2023-02-09,32.42,33.23,32.32,32.8,2446496.0
2023-02-08,32.06,32.43,31.96,32.25,2492123.0
2023-02-07,31.86,32.18,31.65,31.81,2297211.0
2023-02-06,32.57,32.58,31.74,31.84,2267171.0
2023-02-03,32.46,33.02,32.23,32.72,2771479.0
2023-02-02,32.4,32.68,32.04,32.35,4419740.0
2023-02-01,32.2,32.33,31.71,32.16,3319063.0
2023-01-31,31.4,32.39,31.23,32.16,3985848.0
2023-01-30,32.2,32.2,31.36,31.53,2894198.0
2023-01-27,32.89,32.96,32.18,32.22,2602101.0
2023-01-26,32.98,33.09,32.21,32.63,3146399.0
2023-01-25,32.71,32.95,32.1,32.62,7822639.0
2023-01-24,34.2,34.41,33.28,33.98,2908403.0
2023-01-23,34.1,34.4,33.82,34.05,3949156.0
2023-01-20,34.0,34.07,33.5,33.88,2073902.0
2023-01-19,34.0,34.33,33.41,33.9,6672665.0
